sku;anio;semana;unidades_vendidas;importe_total_pyg
136342;2025;51;6;5536363
136342;2025;52;1;922727
136343;2024;42;4;353700
136343;2024;43;1;90000
136343;2024;44;11;981000
136343;2024;45;17;1314000
136343;2024;46;4;342000
136343;2024;47;1;90000
136344;2024;40;1;127272
136344;2024;43;1;114545
136344;2024;44;2;254545
136344;2024;45;8;865454
136344;2024;46;5;636363
136344;2024;47;3;381818
136344;2024;48;1;127272
136344;2024;49;1;127272
136344;2024;51;1;127272
136345;2024;40;1;180909
136345;2024;41;2;325636
136345;2024;42;2;361818
136345;2024;43;4;705545
136345;2024;44;4;669363
136345;2024;45;17;2749818
136345;2024;46;15;2641272
136345;2024;47;8;1447272
136345;2024;51;2;271363
136611;2024;42;1;590909
136611;2024;45;1;472727
136611;2024;46;2;1181818
136611;2024;47;5;2954545
136611;2024;48;2;1063636
136612;2024;43;5;1318181
136612;2024;44;7;1805909
136612;2024;45;10;2214545
136612;2024;46;4;1001818
136612;2024;47;7;1845454
136612;2024;48;6;1476363
136612;2024;49;6;1581817
136612;2024;51;1;197727
136613;2024;42;3;1622727
136613;2024;43;2;1081818
136613;2024;45;17;7464545
136613;2024;46;7;3786363
136613;2024;47;7;3786363
136613;2024;48;17;8870909
136613;2024;49;19;10060908
136613;2024;50;27;11899999
136613;2024;51;4;1190000
136613;2024;52;5;1625290
136613;2025;1;1;540909
136614;2024;41;1;781818
136614;2024;43;3;2345454
136614;2024;44;1;781818
136614;2024;45;22;14385454
136614;2024;46;7;5316363
136614;2024;47;2;1563636
136614;2024;48;9;6410908
136614;2024;49;13;9929090
136614;2024;50;11;6997272
136614;2024;51;10;5707272
136614;2024;52;2;1094545
136614;2025;46;1;722727
136614;2025;47;8;5781817
136614;2025;48;4;2890908
136614;2025;49;1;672136
136614;2025;50;6;3758181
136614;2025;51;12;5998635
136614;2025;52;4;2023636
136615;2024;45;1;945454
136615;2024;47;4;4727272
136615;2024;48;5;5909090
136615;2024;49;2;2363636
136615;2024;50;3;3190909
136617;2024;43;1;114545
136617;2024;44;1;127272
136617;2024;45;2;229090
136617;2024;46;3;381818
136617;2024;47;24;3016363
136617;2024;48;77;9379998
136617;2024;49;30;3779999
136617;2024;50;3;292727
136617;2024;51;2;197272
136618;2024;40;2;600000
136618;2024;41;2;540000
136618;2024;43;2;600000
136618;2024;44;2;600000
136618;2024;45;5;1260000
136618;2024;46;6;1680000
136618;2024;47;5;1500000
136618;2024;48;5;1380000
136618;2024;49;11;3300000
136618;2024;50;7;1890000
136618;2024;51;1;210000
136621;2024;42;1;695454
136621;2024;43;2;1390909
136621;2024;44;5;3477272
136621;2024;45;14;8345455
136621;2024;46;7;4868182
136621;2024;47;6;4172727
136621;2024;48;11;6954545
136621;2024;49;14;9319090
136621;2024;50;13;7650000
136621;2024;51;3;1669090
136621;2024;52;1;486818
136622;2024;42;2;2290909
136622;2024;43;1;1145454
136622;2024;44;1;1145454
136622;2024;45;10;9621818
136622;2024;46;12;13516363
136622;2024;47;5;5727272
136622;2024;48;12;11912727
136622;2024;49;2;1947273
136622;2024;50;4;4238181
136622;2024;51;6;5040000
136622;2024;52;3;2405454
136622;2025;48;1;836363
136622;2025;49;5;5227272
136622;2025;50;8;6899999
136622;2025;51;3;2090909
136622;2025;52;1;627273
136623;2024;45;8;941818
136623;2024;46;56;6516363
136623;2024;47;24;3054545
136623;2024;48;15;1832727
136623;2024;49;50;6223636
136623;2024;50;20;2271817
136623;2024;51;17;1750000
136623;2024;52;2;168274
136623;2025;49;1;127272
136623;2025;50;4;496363
136624;2024;42;5;437400
136624;2024;44;5;450000
136624;2024;45;53;3978000
136624;2024;46;25;2160000
136624;2024;47;12;1035000
136624;2024;49;14;1233000
136624;2024;50;11;886500
136624;2024;51;3;211500
136624;2025;50;4;342000
136625;2024;40;2;69090
136625;2024;41;7;241818
136625;2024;42;5;172727
136625;2024;43;1;34545
136625;2024;44;8;271181
136625;2024;45;21;623545
136625;2024;46;23;766909
136625;2024;47;7;241818
136625;2024;48;12;414545
136625;2024;49;11;345454
136625;2024;50;7;217636
136625;2024;51;1;27636
136625;2024;52;1;27636
136763;2024;41;4;127272
136763;2024;42;2;63636
136763;2024;43;2;63636
136763;2024;44;6;190909
136763;2024;45;11;286363
136763;2024;46;23;693636
136763;2024;47;9;283181
136763;2024;48;26;827272
136763;2024;49;18;566363
136763;2024;50;7;210000
136769;2024;40;1;59090
136769;2024;43;1;59090
136769;2024;44;2;118181
136769;2024;45;10;496363
136769;2024;46;9;520000
136769;2024;47;8;472727
